,Weight with Label,Pressure_2_Integral,ActTimPlst[1],Temperature_1_YMax,CycleTime,Pressure_2_YMax,ActVolCsh[1],Pressure_1_TimeatYMin,FlowPipeIn,ActTimXfr[1],ActVolXfr[1],Pressure_2_TimeatYMax,"ActTmpBrlZn[1,2]",Pressure_1_TimeatYMax,Pressure_1_YMax,Temperature_1_Integral,Pressure_1_YMin,TemperatureMaterial,Temperature_1_TimeatYMin,TemperaturePipeIn,ActPrsMachSpecMax[1],Pressure_2_TimeatYMin,Temperature_1_TimeatYMax,Pressure_2_YMin,SetTimInjCool[1],ActVolDcmpPst[1],ActVolPlst[1],trialHasPassedDropTest
567,361.1,960.78,2.88,126.7,10.739,632.3,29.2,5.357,74.5,0.462,60.2,0.9,234.1,1.735,218.405739,607.9,-1.712696,33.8,0.8270000000000001,14.8,1469.1,0.36700000000000005,2.5,-0.5,5.0,574.8,563.1,0
568,361.2,962.48,2.88,126.7,10.739,632.6,28.5,5.19,73.0,0.461,60.2,0.9,234.1,1.735,219.13178399999998,608.1,-1.7258689999999999,33.82,0.784,14.8,1472.5,0.067,2.5,-0.5,5.0,574.9,563.1,0
569,361.2,969.84,2.89,126.5,10.739,634.0,28.6,5.257000000000001,73.5,0.461,60.3,0.9,234.1,1.735,222.89887000000002,607.3,-1.715485,34.03,0.8009999999999999,14.8,1468.4,0.0,2.4,0.0,5.0,574.9,563.1,0
570,361.3,969.13,2.88,126.4,10.739,632.9,28.7,4.888999999999999,73.0,0.462,60.1,0.9,234.1,1.719,222.847907,606.6,-1.6908509999999999,33.97,0.701,14.8,1467.8,0.0,2.6,0.0,5.0,574.8,563.1,0
571,361.3,965.22,2.89,126.1,10.739,633.9,28.7,5.29,73.5,0.461,60.3,0.9,234.1,1.735,224.176085,605.9,-1.729365,33.88,0.8009999999999999,14.8,1468.5,0.017,2.4,-0.4,5.0,574.9,563.2,0
572,361.2,959.74,2.88,126.3,10.739,631.2,28.8,5.29,73.5,0.462,60.1,0.9,234.1,1.719,224.447603,606.3,-1.663002,33.86,0.7509999999999999,14.7,1470.9,0.033,2.4,-1.1,5.0,574.8,563.1,0
573,361.2,965.56,2.88,126.3,10.739,632.8,28.8,4.973,70.0,0.462,60.2,0.9,234.1,1.702,226.74412,606.4,-1.6804439999999998,33.66,0.701,14.7,1471.1,0.033,2.4,-0.8,5.0,574.8,563.1,0
574,361.5,958.24,2.88,126.1,10.739,630.5,28.8,4.939,68.3,0.461,60.3,0.9,234.7,1.735,224.993529,605.6,-1.6621240000000002,33.88,0.851,14.7,1470.2,0.05,2.5,-1.4,5.0,574.9,563.1,0
575,361.3,964.12,2.9,126.1,10.739,631.0,29.0,4.873,72.4,0.46299999999999997,60.2,0.9,234.7,1.735,223.19930699999998,605.3,-1.699834,33.87,0.768,14.6,1468.6,0.0,2.6,0.0,5.0,574.9,563.2,0
576,361.3,962.3,2.89,126.2,10.739,631.6,28.9,5.273,72.4,0.46399999999999997,60.1,0.9,234.7,1.719,222.76194300000003,605.8,-1.6953939999999998,33.9,0.718,14.7,1472.2,0.0,2.3,0.0,5.0,574.9,563.2,0
577,361.3,958.6,2.88,126.2,10.739,631.3,29.2,5.273,72.8,0.46299999999999997,60.3,0.9,234.7,1.7519999999999998,222.04554,605.6,-1.6958119999999999,34.0,0.7509999999999999,14.7,1472.9,0.0,2.4,0.0,5.0,574.9,563.1,0
578,361.3,959.68,2.89,126.1,10.739,633.0,29.2,5.19,63.7,0.46399999999999997,60.2,0.9,235.3,1.735,219.344057,605.3,-1.6727009999999998,34.05,0.6509999999999999,14.7,1470.2,0.41700000000000004,2.4,-0.2,5.0,574.9,563.1,0
579,361.6,960.81,2.9,126.3,10.739,633.0,29.0,4.823,63.7,0.46399999999999997,60.2,0.9,235.3,1.735,218.010356,605.4,-0.927118,34.05,0.7340000000000001,14.7,1470.0,0.467,2.4,-0.5,5.0,574.9,563.2,0
580,361.6,956.83,2.88,126.5,10.739,632.2,29.4,4.856,61.1,0.465,60.1,0.9,235.3,1.7519999999999998,215.613342,606.1,-1.74397,33.89,0.8009999999999999,14.8,1470.0,0.4,2.5,-0.8,5.0,574.9,563.1,0
581,361.6,958.74,2.88,126.2,10.739,634.1,29.5,4.806,61.8,0.465,60.1,0.9,235.9,1.7519999999999998,216.345358,605.5,-1.780705,33.97,0.8009999999999999,14.8,1473.9,0.33399999999999996,2.4,-0.8,5.0,574.9,563.1,0
582,361.5,954.47,2.9,126.3,10.739,632.7,29.1,4.8389999999999995,61.0,0.465,60.1,0.9,235.9,1.7519999999999998,213.50777000000002,605.7,-1.794503,33.8,0.784,14.9,1468.1,0.467,2.6,-0.8,5.0,575.0,563.1,0
583,361.4,957.74,2.87,126.2,10.739,634.0,29.3,4.823,61.7,0.465,60.3,0.9,235.9,1.7519999999999998,214.347986,605.6,-1.739269,33.93,0.8270000000000001,14.9,1468.2,0.384,2.4,-0.6,5.0,575.0,563.1,0
584,361.5,956.57,2.88,126.1,10.739,633.8,29.3,5.24,61.1,0.465,60.1,0.9,236.5,1.7519999999999998,212.521735,605.0,-1.737336,33.98,0.7509999999999999,15.0,1472.7,0.41700000000000004,2.4,-0.6,5.0,574.9,563.1,0
585,361.4,959.58,2.87,126.1,10.739,634.9,29.7,4.739,61.7,0.466,60.3,0.9,236.5,1.7690000000000001,214.248183,604.5,-1.760966,33.98,0.784,15.0,1468.8,0.451,2.5,-0.5,5.0,574.9,563.1,0
586,361.2,952.59,2.88,126.2,10.739,633.1,29.1,4.739,61.5,0.465,60.2,0.9,236.5,1.7690000000000001,210.63384700000003,604.6,-1.744013,33.84,0.8009999999999999,15.0,1469.4,0.284,2.5,-0.6,5.0,574.7,563.1,0
587,361.2,962.43,2.89,126.5,10.739,635.2,29.4,4.756,62.2,0.465,60.2,0.9,236.5,1.7519999999999998,213.45661600000003,606.2,-1.770446,33.91,0.8009999999999999,15.1,1472.1,0.0,2.6,0.0,5.0,574.9,563.2,0
588,361.4,949.75,2.87,126.0,10.739,632.9,29.7,4.856,62.0,0.466,60.1,0.9,237.1,1.786,207.40288,603.8,-1.8157400000000001,34.17,0.7340000000000001,15.2,1469.7,0.267,2.5,-0.9,5.0,574.9,563.1,0
589,361.1,954.1,2.88,126.1,10.739,633.3,30.1,4.856,61.4,0.467,60.1,0.9,237.1,1.7690000000000001,209.61412099999998,604.5,-1.788185,34.06,0.768,15.3,1471.2,0.0,2.6,0.0,5.0,574.9,563.1,0
590,361.0,957.05,2.89,126.3,10.739,635.2,30.0,4.689,58.9,0.466,60.2,0.9,237.1,1.786,209.608648,605.6,-1.7698200000000002,34.0,0.8340000000000001,15.4,1471.0,0.0,2.5,0.0,5.0,575.0,563.1,0
591,360.9,958.03,2.88,126.6,10.739,636.0,29.9,4.888999999999999,62.0,0.466,60.2,0.9,237.1,1.7690000000000001,211.82751499999998,607.7,-1.761884,34.17,0.768,15.6,1472.2,0.017,2.6,-0.4,5.0,574.9,563.2,0
592,360.8,951.71,2.88,126.5,10.739,634.2,30.0,4.773,73.4,0.467,60.1,0.9,237.7,1.8019999999999998,209.129371,607.6,-1.7646959999999998,34.06,0.818,15.7,1473.1,0.033,2.6,-1.4,5.0,575.0,563.1,0
